P,I,D,dP,dI,dD,SUM(d)
0.190027,0.0000424868,2.50512,0.00818922,0.00000136696,0.0998218,0.10801
0.198216,0.0000424868,2.60494,0.00818922,0.00000136696,0.0898396,0.09803
0.181838,0.0000424868,2.60494,0.00818922,0.00000136696,0.0898396,0.09803
0.190027,0.0000438538,2.60494,0.0073703,0.00000136696,0.0898396,0.09721
0.190027,0.0000411199,2.60494,0.0073703,0.00000136696,0.0898396,0.09721
0.190027,0.0000424868,2.69478,0.0073703,0.00000123026,0.0898396,0.09721
0.190027,0.0000424868,2.5151,0.0073703,0.00000123026,0.0898396,0.09721
0.197397,0.0000424868,2.60494,0.0073703,0.00000123026,0.0808556,0.08823
0.182657,0.0000424868,2.60494,0.0073703,0.00000123026,0.0808556,0.08823
0.190027,0.0000437171,2.60494,0.00663327,0.00000123026,0.0808556,0.08749
0.190027,0.0000412566,2.60494,0.00663327,0.00000123026,0.0808556,0.08749
0.190027,0.0000424868,2.6858,0.00663327,0.00000110724,0.0808556,0.08749
0.190027,0.0000424868,2.52409,0.00663327,0.00000110724,0.0808556,0.08749
0.19666,0.0000424868,2.60494,0.00663327,0.00000110724,0.0727701,0.07940
0.183394,0.0000424868,2.60494,0.00663327,0.00000110724,0.0727701,0.07940
0.190027,0.0000435941,2.60494,0.00596994,0.00000110724,0.0727701,0.07874
0.190027,0.0000413796,2.60494,0.00596994,0.00000110724,0.0727701,0.07874
0.190027,0.0000424868,2.67771,0.00596994,0.000000996513,0.0727701,0.07874
0.190027,0.0000424868,2.53217,0.00596994,0.000000996513,0.0727701,0.07874
0.195997,0.0000424868,2.60494,0.00596994,0.000000996513,0.0654931,0.07146
0.184057,0.0000424868,2.60494,0.00596994,0.000000996513,0.0654931,0.07146
0.190027,0.0000434834,2.60494,0.00537295,0.000000996513,0.0654931,0.07087
0.190027,0.0000414903,2.60494,0.00537295,0.000000996513,0.0654931,0.07087
0.190027,0.0000424868,2.67044,0.00537295,0.000000896862,0.0654931,0.07087
0.190027,0.0000424868,2.53945,0.00537295,0.000000896862,0.0654931,0.07087
0.1954,0.0000424868,2.60494,0.00537295,0.000000896862,0.0589437,0.06432
0.184654,0.0000424868,2.60494,0.00537295,0.000000896862,0.0589437,0.06432
0.190027,0.0000433837,2.60494,0.00483565,0.000000896862,0.0589437,0.06378
0.190027,0.00004159,2.60494,0.00483565,0.000000896862,0.0589437,0.06378
0.190027,0.0000424868,2.66389,0.00483565,0.000000807176,0.0589437,0.06378
0.190027,0.0000424868,2.546,0.00483565,0.000000807176,0.0589437,0.06378
0.194862,0.0000424868,2.60494,0.00483565,0.000000807176,0.0530494,0.05789
0.185191,0.0000424868,2.60494,0.00483565,0.000000807176,0.0530494,0.05789
0.190027,0.000043294,2.60494,0.00435209,0.000000807176,0.0530494,0.05740
0.190027,0.0000416797,2.60494,0.00435209,0.000000807176,0.0530494,0.05740
0.190027,0.0000424868,2.65799,0.00435209,0.000000726458,0.0530494,0.05740
0.190027,0.0000424868,2.55189,0.00435209,0.000000726458,0.0530494,0.05740
0.194379,0.0000424868,2.60494,0.00435209,0.000000726458,0.0477444,0.05210
0.185675,0.0000424868,2.60494,0.00435209,0.000000726458,0.0477444,0.05210
0.190027,0.0000432133,2.60494,0.00391688,0.000000726458,0.0477444,0.05166
0.190027,0.0000417604,2.60494,0.00391688,0.000000726458,0.0477444,0.05166
0.190027,0.0000424868,2.65269,0.00391688,0.000000653812,0.0477444,0.05166
0.190027,0.0000424868,2.5572,0.00391688,0.000000653812,0.0477444,0.05166
0.193944,0.0000424868,2.60494,0.00391688,0.000000653812,0.04297,0.04689
0.18611,0.0000424868,2.60494,0.00391688,0.000000653812,0.04297,0.04689
0.190027,0.0000431407,2.60494,0.00352519,0.000000653812,0.04297,0.04650
0.190027,0.000041833,2.60494,0.00352519,0.000000653812,0.04297,0.04650
0.190027,0.0000424868,2.64791,0.00352519,0.000000588431,0.04297,0.04650
0.190027,0.0000424868,2.56197,0.00352519,0.000000588431,0.04297,0.04650
0.193552,0.0000424868,2.60494,0.00352519,0.000000588431,0.038673,0.04220
0.186502,0.0000424868,2.60494,0.00352519,0.000000588431,0.038673,0.04220
0.190027,0.0000430753,2.60494,0.00317267,0.000000588431,0.038673,0.04185
0.190027,0.0000418984,2.60494,0.00317267,0.000000588431,0.038673,0.04185
0.190027,0.0000424868,2.64362,0.00317267,0.000000529588,0.038673,0.04185
0.190027,0.0000424868,2.56627,0.00317267,0.000000529588,0.038673,0.04185
0.1932,0.0000424868,2.60494,0.00317267,0.000000529588,0.0348057,0.03798
0.186854,0.0000424868,2.60494,0.00317267,0.000000529588,0.0348057,0.03798
0.190027,0.0000430164,2.60494,0.00285541,0.000000529588,0.0348057,0.03766
0.190027,0.0000419573,2.60494,0.00285541,0.000000529588,0.0348057,0.03766
0.190027,0.0000424868,2.63975,0.00285541,0.000000476629,0.0348057,0.03766
0.190027,0.0000424868,2.57014,0.00285541,0.000000476629,0.0348057,0.03766
0.192882,0.0000424868,2.60494,0.00285541,0.000000476629,0.0313251,0.03418
0.187171,0.0000424868,2.60494,0.00285541,0.000000476629,0.0313251,0.03418
0.190027,0.0000429635,2.60494,0.00256987,0.000000476629,0.0313251,0.03390
0.190027,0.0000420102,2.60494,0.00256987,0.000000476629,0.0313251,0.03390
0.190027,0.0000424868,2.63627,0.00256987,0.000000428966,0.0313251,0.03390
0.190027,0.0000424868,2.57362,0.00256987,0.000000428966,0.0313251,0.03390
0.192597,0.0000424868,2.60494,0.00256987,0.000000428966,0.0281926,0.03076
0.187457,0.0000424868,2.60494,0.00256987,0.000000428966,0.0281926,0.03076
0.190027,0.0000429158,2.60494,0.00231288,0.000000428966,0.0281926,0.03051
0.190027,0.0000420579,2.60494,0.00231288,0.000000428966,0.0281926,0.03051
0.190027,0.0000424868,2.63313,0.00231288,0.00000038607,0.0281926,0.03051
0.190027,0.0000424868,2.57675,0.00231288,0.00000038607,0.0281926,0.03051
0.19234,0.0000424868,2.60494,0.00231288,0.00000038607,0.0253734,0.02769
